2018년 12월 매표현황 보고자료 (입장객-일별),,,,,,,,,,,,,,,,,,,,,,
구분,,,월별입장객,,,,"동,식물원",,,,,,,,테마가든,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,무료소계,총계,유료소계,어른,청소년,어린이,외국인,단체입장,무료소계,총계
2018-12-01,토,맑음,"2,440","1,565","4,005",46,2375,"2,046",35,294,46,28,"1,520","3,895",65,60,0,5,0,0,45,110
2018-12-02,일,흐림,"2,221","1,160","3,381",26,2166,"1,800",80,286,26,0,"1,100","3,266",55,51,0,4,0,0,60,115
2018-12-03,월,흐림,55,301,356,0,55,44,10,1,0,0,275,330,0,0,0,0,0,0,26,26
2018-12-04,화,구름 많음,144,466,610,4,139,111,23,5,4,0,445,584,5,5,0,0,0,0,21,26
2018-12-05,수,구름 많음,213,602,815,19,213,150,7,56,19,43,575,788,0,0,0,0,0,0,27,27
2018-12-06,목,구름 많음,185,693,878,0,185,161,18,6,0,0,641,826,0,0,0,0,0,0,52,52
2018-12-07,금,구름 조금,130,310,440,18,130,81,29,20,18,0,290,420,0,0,0,0,0,0,20,20
2018-12-08,토,구름 조금,323,484,807,13,322,199,14,109,13,79,473,795,1,1,0,0,0,0,11,12
2018-12-09,일,구름 조금,263,545,808,10,259,225,17,17,10,0,529,788,4,2,1,1,0,0,16,20
2018-12-10,월,맑음,125,428,553,9,125,102,17,6,9,0,405,530,0,0,0,0,0,0,23,23
2018-12-11,화,흐림,326,671,997,0,324,62,248,14,0,0,645,969,2,2,0,0,0,0,26,28
2018-12-12,수,맑음,"1,552",537,"2,089",6,1552,959,156,437,6,121,517,"2,069",0,0,0,0,0,0,20,20
2018-12-13,목,구름 조금,464,390,854,5,460,80,371,9,5,359,376,836,4,2,2,0,0,0,14,18
2018-12-14,금,맑음,96,360,456,7,95,79,12,4,7,0,350,445,1,1,0,0,0,0,10,11
2018-12-15,토,구름 조금,594,787,"1,381",22,590,463,66,61,22,0,775,"1,365",4,2,0,2,0,0,12,16
2018-12-16,일,흐림,429,705,"1,134",14,428,358,18,52,14,0,660,"1,088",1,1,0,0,0,0,45,46
2018-12-17,월,맑음,159,497,656,15,155,144,4,7,15,0,489,644,4,4,0,0,0,0,8,12
2018-12-18,화,구름 조금,177,684,861,22,174,140,24,10,22,0,663,837,3,3,0,0,0,0,21,24
2018-12-19,수,구름 조금,207,602,809,0,207,173,29,5,0,36,589,796,0,0,0,0,0,0,13,13
2018-12-20,목,구름 조금,269,607,876,13,263,196,55,12,13,0,575,838,6,6,0,0,0,0,32,38
2018-12-21,금,구름 많음,"1,102",528,"1,630",1,1102,162,932,8,1,0,523,"1,625",0,0,0,0,0,0,5,5
2018-12-22,토,구름 조금,972,"1,010","1,982",23,958,803,80,75,23,41,988,"1,946",14,13,0,1,0,0,22,36
2018-12-23,일,맑음,"1,638","1,310","2,948",41,1613,"1,397",52,164,41,32,"1,279","2,892",25,25,0,0,0,0,31,56
2018-12-24,월,맑음,499,483,982,19,495,447,18,30,19,0,454,949,4,4,0,0,0,0,29,33
2018-12-25,화,흐림,"1,709",693,"2,402",28,1701,"1,420",165,116,28,0,678,"2,379",8,7,0,1,0,0,15,23
2018-12-26,수,구름 조금,250,502,752,23,249,222,10,17,23,0,486,735,1,1,0,0,0,0,16,17
2018-12-27,목,맑음,"3,498",445,"3,943",10,3498,"2,960",33,505,10,"3,422",418,"3,916",0,0,0,0,0,0,27,27
2018-12-28,금,맑음,70,287,357,14,70,59,7,4,14,0,258,328,0,0,0,0,0,0,29,29
2018-12-29,토,맑음,238,496,734,27,235,195,13,27,27,0,473,708,3,3,0,0,0,0,23,26
2018-12-30,일,맑음,449,466,915,37,445,368,21,56,37,0,436,881,4,3,0,1,0,0,30,34
2018-12-31,월,맑음,390,444,834,17,380,333,22,25,15,0,427,807,10,10,0,0,2,0,17,27
월계,,,"21,187","19,058","40,245",489,"20,963","15,939","2,586","2,438",487,"4,161","18,312","39,275",224,206,3,15,2,0,746,970
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
