"교직 경력","학교 교육과정에서 진로교육 시수가 현재보다 확대되어야 한다","학습 또는 성적지도 수행 정도","학교생활 지도(창체활동 설계, 교우관계, 부적응 등) 수행 정도","진학.입시 정보 제공(상급학교 및 학과 정보) 수행 정도","진로계획 및 준비 지도(진로의사결정, 갈등 포함) 수행 정도","자기이해 지도(꿈, 흥미, 적성 파악) 수행 정도","직업정보 제공 수행 정도","진로체험 활동 지원 수행 정도"
0,2,5,4,4,2,3,3,2
0,3,4,4,3,4,5,5,3
0,4,3,3,3,3,3,3,3
0,5,4,3,3,4,5,2,3
0,5,4,4,4,4,4,4,3
1,3,3,4,3,3,4,3,3
1,3,3,4,5,5,5,5,3
1,3,4,3,3,4,4,3,2
1,3,4,4,3,4,5,2,2
1,3,4,4,5,4,4,4,3
1,3,4,5,3,4,4,4,3
1,3,4,5,4,5,5,3,5
1,3,5,5,3,4,4,4,3
1,4,3,3,3,3,3,3,3
1,4,3,3,3,3,4,2,3
1,4,3,4,5,4,4,3,3
1,4,3,5,3,4,5,4,4
1,4,4,3,4,4,4,3,3
1,4,4,4,3,3,3,2,2
1,4,4,4,3,3,3,4,3
1,4,4,4,4,3,3,3,3
1,4,4,4,4,4,4,3,2
1,4,4,4,4,4,4,3,3
1,4,4,5,3,3,4,4,3
1,4,4,5,4,4,4,4,3
1,4,4,5,4,5,5,4,4
1,4,5,4,4,4,3,3,3
1,4,5,5,5,4,5,3,3
1,5,3,5,3,4,4,3,2
1,5,4,4,3,3,4,2,3
1,5,4,5,5,5,5,4,4
1,5,5,5,4,5,5,4,3
10,3,4,4,3,3,3,3,3
10,3,4,5,5,5,4,3,4
10,4,3,4,3,3,3,3,3
10,4,4,4,3,4,4,3,3
10,4,4,4,4,4,4,4,4
10,4,4,5,4,4,5,4,4
10,4,5,5,3,3,4,3,4
10,4,5,5,5,5,4,3,3
10,4,5,5,5,5,4,4,4
10,5,4,4,4,4,4,4,3
10,5,4,4,4,4,4,4,4
10,5,4,4,5,5,4,4,4
10,5,4,5,5,5,5,4,5
10,5,5,5,4,4,4,3,3
11,2,4,4,4,4,3,3,3
11,2,4,4,4,4,4,2,2
11,2,4,4,4,4,4,4,4
11,2,5,4,4,3,3,4,4
11,3,4,4,3,4,4,3,3
11,3,4,4,4,4,4,3,3
11,4,3,4,3,3,3,3,3
11,4,4,4,5,4,2,4,1
11,4,5,5,5,5,5,4,4
11,5,4,4,3,5,5,5,4
11,5,5,5,5,4,4,3,3
11,5,5,5,5,5,5,5,5
11,5,5,5,5,5,5,5,5
12,2,4,3,2,3,3,3,3
12,2,4,5,4,4,4,3,2
12,2,4,5,4,4,4,3,3
12,2,5,5,5,5,5,2,2
12,3,4,4,4,4,4,3,3
12,3,5,5,3,5,5,5,5
12,3,5,5,4,4,5,3,4
12,4,5,5,4,4,4,4,4
12,5,3,4,2,4,3,4,2
12,5,5,5,5,5,5,5,5
13,3,3,4,4,3,3,3,2
13,3,4,4,4,3,3,2,2
13,3,5,5,5,5,5,5,5
13,4,4,4,4,4,4,4,4
13,4,5,5,5,5,5,4,4
13,5,5,5,4,4,3,4,5
14,2,4,5,4,3,3,3,3
14,2,5,5,5,4,5,3,2
14,4,4,4,4,4,4,3,3
14,5,5,5,5,5,5,5,5
15,3,3,4,3,3,3,3,3
15,3,4,4,3,3,4,3,3
15,3,4,4,4,4,4,3,3
15,3,4,4,4,4,4,3,3
15,3,5,5,5,4,3,3,3
15,3,5,5,5,5,5,3,3
15,4,4,4,4,4,3,3,3
15,4,4,5,4,4,3,3,4
15,4,4,5,5,5,4,5,5
15,4,5,4,4,4,4,3,3
15,4,5,5,5,5,5,4,4
15,4,5,5,5,5,5,5,5
15,5,4,4,4,4,4,3,2
15,5,4,5,3,4,4,5,5
15,5,4,5,4,5,4,3,3
15,5,5,4,4,5,4,4,4
15,5,5,5,5,4,5,4,5
16,3,3,3,3,3,3,3,3
16,3,4,3,4,3,2,4,3
16,3,4,4,4,4,4,4,4
16,3,4,5,4,4,4,3,3
16,3,5,5,4,4,3,3,2
16,5,4,4,4,4,4,4,4
16,5,5,5,5,5,5,5,5
17,2,5,5,5,5,5,5,5
17,3,5,5,5,5,5,4,3
17,4,4,4,4,4,4,3,4
17,4,4,4,4,4,4,4,4
17,4,4,5,4,5,4,4,2
17,4,5,5,4,4,4,3,2
17,4,5,5,5,5,5,5,5
17,5,4,4,3,2,3,2,3
17,5,4,4,4,4,4,4,4
17,5,5,5,5,4,5,5,4
17,5,5,5,5,5,5,2,2
18,2,4,4,4,4,3,3,3
18,2,5,5,4,4,5,4,3
18,3,3,4,3,3,4,2,3
18,3,4,4,4,4,4,3,3
18,3,4,4,4,4,4,3,3
18,4,3,5,3,3,3,3,3
18,4,4,4,4,3,4,3,5
18,4,4,4,4,4,4,4,4
18,4,4,4,4,4,4,4,4
18,5,4,4,3,3,4,4,4
18,5,4,5,4,4,4,4,4
18,5,5,4,5,5,4,4,3
18,5,5,5,5,5,5,5,5
19,2,5,4,4,4,4,3,3
19,2,5,5,5,5,4,3,3
19,3,3,3,3,3,3,3,3
19,3,4,4,4,4,4,2,2
19,3,4,4,4,4,4,4,4
19,3,4,4,4,4,4,4,4
19,3,4,4,4,4,5,4,5
19,4,5,5,4,4,4,3,3
19,5,3,4,3,4,4,2,2
2,3,3,5,4,4,4,4,3
2,3,5,4,4,4,4,3,2
2,3,5,5,5,5,4,4,4
2,4,4,4,3,3,3,3,3
2,4,4,4,3,4,4,3,3
2,4,4,4,4,4,4,4,3
2,4,5,5,3,3,2,2,4
2,4,5,5,4,4,5,4,4
2,4,5,5,5,4,3,3,3
2,5,4,4,3,4,4,3,2
2,5,4,4,4,5,3,3,2
2,5,5,3,4,3,4,4,3
2,5,5,5,5,4,4,3,2
20,3,3,3,3,3,3,3,3
20,3,4,3,4,4,3,3,3
20,3,4,4,3,3,3,3,3
20,3,4,4,3,3,4,2,2
20,3,4,4,4,3,4,4,3
20,3,4,5,4,5,5,4,4
20,3,5,5,5,5,5,5,5
20,3,5,5,5,5,5,5,5
20,4,3,3,3,3,3,3,3
20,4,4,4,5,4,3,3,3
20,4,5,4,4,4,3,3,3
20,4,5,5,5,5,4,4,2
20,5,4,4,4,4,4,3,3
20,5,4,4,4,4,4,4,4
20,5,4,5,5,5,4,4,4
20,5,5,5,4,5,4,3,3
20,5,5,5,4,5,5,4,4
20,5,5,5,5,5,5,4,4
21,3,4,4,3,4,4,3,3
21,4,5,5,5,5,5,3,4
21,5,4,4,4,4,3,3,3
22,1,4,4,4,4,5,2,2
22,1,5,5,4,4,4,3,3
22,3,4,4,5,4,4,4,3
22,3,5,4,3,4,3,4,3
22,3,5,5,5,5,5,4,4
23,3,3,3,3,3,3,3,3
23,3,4,4,3,4,5,3,3
23,3,4,4,4,3,4,3,2
23,3,4,4,4,4,3,3,3
23,4,5,5,4,4,4,3,3
24,4,4,4,4,4,4,3,3
24,5,5,5,3,3,3,1,1
25,3,4,3,4,4,3,4,3
25,3,4,4,3,3,4,3,3
25,3,5,5,4,4,3,3,2
25,3,5,5,5,5,4,5,4
25,3,5,5,5,5,5,5,3
25,4,4,4,4,4,4,4,4
25,5,5,4,4,4,4,4,3
25,5,5,5,5,5,5,5,5
25,5,5,5,5,5,5,5,5
26,3,3,5,4,3,3,4,2
26,3,4,4,4,4,4,3,3
26,3,4,4,4,4,5,4,3
26,3,4,5,3,4,4,3,4
26,3,5,5,4,5,5,3,3
26,4,4,4,3,3,3,3,3
26,4,4,4,4,4,4,4,4
26,4,5,4,3,3,4,3,3
26,4,5,5,5,5,5,4,4
27,3,4,4,3,4,4,3,3
27,3,4,5,4,4,4,3,4
27,4,4,4,3,4,3,4,3
