순위,영화명,관객수 ,상영횟수 ,등급 ,장르 
1,신과함께-죄와 벌,"14,411,502","213,262",12세이상관람가,"판타지,드라마"
2,신과함께-인과 연,"12,274,996","179,981",12세이상관람가,"판타지,드라마"
3,택시운전사,"12,189,195","184,145",15세이상관람가,드라마
4,공조,"7,817,654","142,991",15세이상관람가,액션
5,1987,"7,232,387","138,226",15세이상관람가,드라마
7,군함도,"6,592,151","108,775",15세이상관람가,"액션,드라마"
8,청년경찰,"5,653,444","118,547",15세이상관람가,액션
9,안시성,"5,440,186","110,439",12세이상관람가,"사극,액션"
10,더 킹,"5,317,693","107,983",15세이상관람가,"범죄,드라마"
11,완벽한 타인,"5,293,971","143,063",15세이상관람가,"드라마,코미디"
12,독전,"5,063,684","140,007",15세이상관람가,"범죄,액션"
13,공작,"4,974,520","99,001",12세이상관람가,드라마
14,강철비,"4,452,740","80,358",15세이상관람가,"액션,드라마"
15,꾼,"4,018,341","117,419",15세이상관람가,범죄
16,남한산성,"3,849,129","71,102",15세이상관람가,"사극,드라마"
17,암수살인,"3,789,321","126,127",15세이상관람가,"범죄,드라마"
18,국가부도의 날,"3,749,076","100,832",12세이상관람가,드라마
19,그것만이 내 세상,"3,419,753","95,432",12세이상관람가,"코미디,드라마"
20,아이 캔 스피크,"3,282,271","93,061",12세이상관람가,코미디
21,마녀,"3,189,091","90,843",15세이상관람가,"미스터리,액션"
22,탐정: 리턴즈,"3,152,872","107,907",15세이상관람가,"코미디,범죄"
24,너의 결혼식,"2,820,969","98,193",12세이상관람가,멜로/로맨스
25,곤지암,"2,675,575","88,477",15세이상관람가,"공포(호러),스릴러"
26,살인자의 기억법,"2,658,589","88,686",15세이상관람가,"범죄,스릴러"
27,지금 만나러 갑니다,"2,602,273","97,482",12세이상관람가,멜로/로맨스
28,보안관,"2,588,628","63,709",15세이상관람가,"범죄,코미디"
29,목격자,"2,524,720","71,403",15세이상관람가,스릴러
30,조작된 도시,"2,515,501","62,241",15세이상관람가,"범죄,액션"
31,조선명탐정: 흡혈괴마의 비밀,"2,444,136","74,953",12세이상관람가,"사극,어드벤처,코미디"
32,재심,"2,421,197","68,402",15세이상관람가,드라마
33,박열,"2,359,497","78,501",12세이상관람가,드라마
34,마스터,"2,215,266","56,141",15세이상관람가,"액션,범죄"
35,명당,"2,087,474","58,450",12세이상관람가,사극
36,협상,"1,967,721","57,926",15세이상관람가,범죄
37,노무현입니다,"1,855,489","61,330",12세이상관람가,다큐멘터리
39,임금님의 사건수첩,"1,635,003","53,005",12세이상관람가,"코미디,어드벤처,액션"
40,창궐,"1,599,290","60,687",15세이상관람가,"사극,액션"
41,성난황소,"1,593,386","48,932",15세이상관람가,"범죄,액션"
42,도어락,"1,559,945","53,750",15세이상관람가,"스릴러,드라마"
43,리틀 포레스트,"1,506,269","68,414",전체관람가,드라마
44,부라더,"1,492,903","54,976",12세이상관람가,코미디
45,기억의 밤,"1,387,779","53,003",15세이상관람가,"미스터리,스릴러"
46,골든슬럼버,"1,387,508","42,991",15세이상관람가,"범죄,드라마"
47,PMC: 더 벙커,"1,374,890","30,220",15세이상관람가,액션
49,특별시민,"1,362,634","46,377",15세이상관람가,드라마
50,궁합,"1,340,117","52,427",12세이상관람가,"코미디,드라마"
51,스윙키즈,"1,324,984","33,546",12세이상관람가,드라마
52,사라진 밤,"1,315,726","60,087",15세이상관람가,스릴러
53,장산범,"1,306,438","34,769",15세이상관람가,"미스터리,스릴러"
55,해빙,"1,204,600","46,227",15세이상관람가,스릴러
57,하루,"1,129,609","45,808",15세이상관람가,스릴러
58,챔피언,"1,128,774","47,320",12세이상관람가,드라마
59,염력,"990,104","45,623",15세이상관람가,"드라마,코미디"
61,인랑,"898,945","25,427",15세이상관람가,"SF,액션"
62,극장판 헬로카봇 : 백악기 시대,"879,449","16,173",전체관람가,애니메이션
