,성별,석차,계열석차백분율,1학년 1학기,1학년 2학기,1학년 전학기,2학년 1학기,2학년 2학기,2학년 전학기,전학년
,,,,,,,,,,
,,,,,,,,,,
67,남,1,0.3,1,1.12,1.06,1.3,1.17,1.24,1.15
45,남,2,0.6,1,1.48,1.24,1.48,1.26,1.37,1.3
102,남,3,0.9,1.32,1.12,1.22,0,1.65,1.65,1.36
81,남,81,24.32,3.28,3.92,3.6,3.39,4.17,3.78,3.69
129,남,5,1.5,1.48,1.56,1.52,1.17,1.78,1.48,1.5
925,여,6,1.8,1.72,1.4,1.56,1.43,0,1.43,1.52
1020,남,6,1.8,1.4,1.52,1.46,1.87,1.3,1.59,1.52
64,남,8,2.4,2.04,1.16,1.6,1.61,2.39,2,1.79
36,남,9,2.7,2,2.04,2.02,1.57,0,1.57,1.88
82,남,216,64.86,5.24,5.24,5.24,6.26,5.87,6.07,5.64
419,여,11,3.3,1.56,2.24,1.9,0,2,2,1.93
78,여,12,3.6,1.96,1.8,1.88,1.96,2.04,2,1.94
920,여,13,3.9,2.2,2,2.1,1.74,0,1.74,1.99
922,여,13,3.9,2.12,2.4,2.26,1.57,1.83,1.7,1.99
99,여,15,4.5,1.88,2.2,2.04,2,1.96,1.98,2.01
412,여,16,4.8,1.88,2.32,2.1,2.13,1.74,1.93,2.02
425,남,16,4.8,1.64,2.16,1.9,1.83,2.48,2.15,2.02
415,여,18,5.41,1.88,1.88,1.88,2.13,2.26,2.2,2.03
623,여,19,5.71,2,2.32,2.16,2,2.13,2.07,2.11
125,남,20,6.01,2.6,2.04,2.32,2.43,1.61,2.02,2.18
414,남,21,6.31,2.08,2,2.04,2.39,2.39,2.39,2.21
1022,남,22,6.61,1.8,2.16,1.98,0,2.78,2.78,2.23
1210,여,23,6.91,2.2,1.48,1.84,3.3,0,3.3,2.3
120,여,24,7.21,2.32,2,2.16,2.48,2.78,2.63,2.39
1122,여,25,7.51,2.32,2.32,2.32,2.61,2.35,2.48,2.4
79,남,26,7.81,1.88,2.48,2.18,2.52,2.78,2.65,2.41
118,여,27,8.11,2.28,2.24,2.26,2.48,2.83,2.65,2.45
106,남,28,8.41,2.48,2.2,2.34,0,2.78,2.78,2.48
1223,여,29,8.71,2.96,1.88,2.42,2.74,0,2.74,2.52
11,남,30,9.01,2,2.64,2.32,2.52,3.04,2.78,2.54
218,여,31,9.31,2.56,2.56,2.56,2.61,0,2.61,2.58
615,여,32,9.61,2.6,2.88,2.74,2.43,2.48,2.46,2.6
109,남,33,9.91,2.92,2.88,2.9,2.61,2,2.3,2.61
1212,여,33,9.91,2.52,3.12,2.82,2.48,2.3,2.39,2.61
97,여,35,10.51,2.76,2.56,2.66,2.78,2.48,2.63,2.65
68,여,36,10.81,2.8,2.48,2.64,2.74,2.83,2.78,2.71
49,남,37,11.11,2.88,2.56,2.72,3.13,2.35,2.74,2.73
52,여,37,11.11,2.76,2.72,2.74,2.7,0,2.7,2.73
617,남,37,11.11,2.36,3.2,2.78,2.96,2.39,2.67,2.73
619,남,37,11.11,3.08,2.6,2.84,2.39,2.83,2.61,2.73
119,여,41,12.31,3.04,2.84,2.94,2.61,2.48,2.54,2.75
